judul,label
IMPLEMENTASI K-MEANS CLUSTERING PADA TERJEMAHAN AL-QUR’AN BERDASARKAN KETERKAITAN TOPIK,AI
PERBANDINGAN METODE FAKTOR KEPASTIAN (CERTAINTY FACTOR ) DENGAN FAKTOR KEPASTIAN PENGGUNA (CERTAINTY FACTOR PARALEL) DALAM SISTEM PAKAR DIAGNOSIS GANGGUAN KEHAMILAN,AI
PENGENALAN POLA OBJEK SAYURAN PADA CITRA DIGITAL DENGAN METODE HOPFIELD NEURAL NETWORK,AI
APLIKASI PENGENALAN EKSPRESI POSE JARI TANGAN MENGGUNAKAN METODE LEARNING VECTOR QUANTIZATION (LVQ) BERBASIS ANDROID,AI
ANALISIS KLASTER PERSEBARAN ANAK DISABILITAS DI INDONESIA DENGAN SELF ORGANIZING MAPS,AI
"ANALISIS KEDUDUKAN I’RAB KALIMAT BAHASA ARAB PADA
KITAB AL – IMRITHI MENGGUNAKAN ALGORITMA BREADTH
FIRST SEARCH (BFS)",AI
PENERAPAN ANALISIS SENTIMEN PADA PENGGUNA TWITTER MENGGUNAKAN METODE K-NEAREST NEIGHBOR,AI
"PENGARUH PELATIHAN SEARCH ENGINE OPTIMIZATION
TERHADAP PENJUALAN PRODUK DENGAN PENERAPAN SEARCH
ENGINE OPTIMIZATION SEBAGAI VARIABEL INTERVENING",AI
SISTEM PAKAR DIAGNOSA DAN ANALISIS FARMAKOLOGI PENYAKIT HEWAN MENULAR ZOONOSIS MENGGUNAKAN METODE CERTAINTY FACTOR,AI
IMPLEMENTASI DATA MINING MENGGUNAKAN ALGORITMA K-MEANS CLUSTERINNG UNTUK MENGETAHUI POLA PEMILIHAN PROGRAM STUDI MAHASISWA BARU IAIN SALATIGA,AI
PENERAPAN FUZZY INFERENCE SYSTEM UNTUK PREDIKSI HASIL PRODUKSI GULA PASIR DENGAN METODE MAMDANI,AI
ALGORITMA PENENTUAN KELAS KATA PADA KATA-KATA YANG MEMILIKI SIFAT AMBIGU DALAM PART-OF-SPEECH TAGGING BAHASA INDONESIA DENGAN METODE RULE BASED,AI
PENERAPAN FUZZY INFERENCE SYSTEM UNTUK MEMPREDIKSI KUALITAS AIR SUNGAI DENGAN METODE MAMDANI,AI
CLUSTERING DATA BAKTERI ACETOBACTERACEAE BERDASARKAN CIRI-CIRI DAN SPESIES MENGGUNAKAN FUZZY C-MEANS,AI
SISTEM PAKAR DIAGNOSA PENYAKIT TANAMAN BAWANG MERAH MENGGUNAKAN METODE CERTAINTY FACTOR,AI
CLUSTERING CITRA TANAH MENGGUNAKAN ALGORITMA FUZZY C-MEANS UNTUK MENILAI KESESUAIAN LAHAN PADA TANAMAN CENGKEH,AI
STUDI PERBANDINGAN ALGORITMA THINNING ZHANG-SUEN DAN ALGORITMA THINNING STENTIFORD PADA PENGENALAN POLA CITRA KARAKTER TULISAN TANGAN,AI
APLIKASI JARINGAN SYARAF TIRUAN MENGGUNAKAN METODE LEARNING VECTOR QUANTIZATION DALAM PENGENALAN POLA HURUF PEGON JAWA,AI
SISTEM PAKAR BERBASIS WEB UNTUK MENDIAGNOSA PENYAKIT ANJING MENGGUNAKAN FORWARD CHAINING,AI
PENGENALAN KARAKTER TULISAN TANGAN HURUF JAWA MENGGUNAKAN METODE JARINGAN SARAF TIRUAN BACKPROPAGATION,AI
ANALISIS SENTIMEN KOMENTAR PADA SISTEM PENILAIAN KINERJA INSTRUKTUR TRAINING ICT (INFORMATION AND COMMUNICATION TECHNOLOGY) UIN SUNAN KALIJAGA MENGGUNAKAN NAÏVE BAYES CLASSIFIER,AI
APLIKASI BASIS DATA FUZZYMODEL TAHANI BERBASIS WEB UNTUK PEMILIHAN TEMPAT MAKAN DI D.I. YOGYAKARTA,AI
IDENTIFIKASI CITRA KAYU JATI DAN KAYU AKASIA MENGGUNAKAN GLCM DAN ALGORITMA PERCEPTRON,AI
